learning_rate,epochs,batch_size,dropout,accuracy,log_loss,precision,recall
0.001,15,32,0.2,0.869294606,0.342836505,0.845493562,0.879464286
0.0005,15,32,0.2,0.860995851,0.36420837,0.812749004,0.910714286
0.001,15,64,0.2,0.82780083,0.373551759,0.768060837,0.901785714
0.0005,15,64,0.2,0.823651452,0.391729531,0.820276498,0.794642857
0.0005,15,32,0.4,0.819502075,0.426100816,0.762452107,0.888392857
0.001,10,64,0.2,0.813278008,0.422248391,0.727891156,0.955357143
0.001,10,64,0.4,0.809128631,0.431571436,0.735714286,0.919642857
0.0005,15,128,0.2,0.800829876,0.459650489,0.753968254,0.848214286
0.001,10,128,0.2,0.794605809,0.466962299,0.728937729,0.888392857
0.001,15,64,0.4,0.790456432,0.44707436,0.692789969,0.986607143
0.0005,10,64,0.2,0.784232365,0.479362236,0.692307692,0.964285714
0.001,5,32,0.4,0.757261411,0.500095991,0.663608563,0.96875
0.0005,10,32,0.2,0.742738589,0.492660273,0.647058824,0.982142857
0.001,15,128,0.2,0.7406639,0.497265456,0.646017699,0.977678571
0.001,5,64,0.2,0.695020747,0.534014162,0.605479452,0.986607143
0.0005,5,32,0.2,0.692946058,0.533990487,0.604972376,0.977678571
0.0005,10,128,0.2,0.690871369,0.540644613,0.603305785,0.977678571
0.0005,5,64,0.2,0.678423237,0.549955453,0.595041322,0.964285714
0.0005,15,64,0.4,0.674273859,0.568411663,0.593837535,0.946428571
0.001,10,128,0.4,0.674273859,0.564354311,0.592286501,0.959821429
0.0005,10,64,0.4,0.668049793,0.566394663,0.587912088,0.955357143
0.001,5,128,0.2,0.661825726,0.564842613,0.580901857,0.977678571
0.0005,15,128,0.4,0.659751037,0.57432166,0.584269663,0.928571429
0.0005,10,128,0.4,0.636929461,0.663499937,0.56980057,0.892857143
0.001,5,64,0.4,0.618257261,0.601818676,0.581967213,0.633928571
0.0005,10,32,0.6,0.612033195,0.664158015,0.545232274,0.995535714
0.0005,10,128,0.6,0.53526971,1.734769016,0,0
0.0005,10,128,0.8,0.53526971,7.490567093,0,0
0.0005,10,32,0.4,0.53526971,0.684927498,0,0
0.0005,10,64,0.6,0.53526971,7.490567093,0,0
0.0005,15,128,0.8,0.53526971,7.490567093,0,0
0.0005,15,32,0.6,0.53526971,7.490567093,0,0
0.0005,15,32,0.8,0.53526971,7.490567093,0,0
0.0005,15,64,0.6,0.53526971,7.490567093,0,0
0.0005,5,128,0.2,0.53526971,0.688677929,0,0
0.0005,5,128,0.4,0.53526971,0.689672584,0,0
0.0005,5,128,0.6,0.53526971,7.490567093,0,0
0.0005,5,32,0.6,0.53526971,0.683310917,0,0
0.0005,5,32,0.8,0.53526971,0.873631202,0,0
0.0005,5,64,0.4,0.53526971,0.69173503,0,0
0.0005,5,64,0.6,0.53526971,7.490567093,0,0
0.0005,5,64,0.8,0.53526971,7.490567093,0,0
0.001,10,128,0.8,0.53526971,7.490567093,0,0
0.001,10,32,0.2,0.53526971,7.490567093,0,0
0.001,10,32,0.4,0.53526971,7.490567093,0,0
0.001,10,32,0.6,0.53526971,7.490567093,0,0
0.001,10,64,0.6,0.53526971,7.490567093,0,0
0.001,10,64,0.8,0.53526971,7.490567093,0,0
0.001,15,128,0.4,0.53526971,0.575861464,0,0
0.001,15,128,0.6,0.53526971,7.490567093,0,0
0.001,15,128,0.8,0.53526971,7.490567093,0,0
0.001,15,32,0.4,0.53526971,7.490567093,0,0
0.001,15,32,0.6,0.53526971,7.490567093,0,0
0.001,15,32,0.8,0.53526971,7.490567093,0,0
0.001,15,64,0.6,0.53526971,7.490567093,0,0
0.001,15,64,0.8,0.53526971,7.490567093,0,0
0.001,5,128,0.4,0.53526971,0.691172235,0,0
0.001,5,128,0.6,0.53526971,7.490567093,0,0
0.001,5,32,0.8,0.53526971,7.490567093,0,0
0.001,5,64,0.6,0.53526971,7.490567093,0,0
0.005,10,128,0.4,0.53526971,7.490567093,0,0
0.005,10,128,0.8,0.53526971,7.490567093,0,0
0.005,10,32,0.2,0.53526971,7.490567093,0,0
